Service,Number,Name,Address,Dept,CP,Ville,Latitude,Longitude,WGS84
Vélo2,54904,54904 - VAU04 - MENDES FRANCE,MAIL MENDES FRANCE ANGLE BOULEVARD DE L'OISE - 95490 VAUREAL,95,95490,VAUREAL,49.02383659,2.022595486,49.02383659
Vélo2,50016,50016 - CER16 - UNIVERSITÉ LES CHÊNES (CB),RUE DES CHÊNES D'OR ANGLE BOULEVARD DU PORT - 95000 CERGY,95,95000,CERGY,49.03776158,2.073068398,49.03776158
Vélib,9111,09111 - LA FAYETTE PROVENCE,28 RUE DE LA VICTOIRE - 75009 PARIS,75,75009,PARIS,48.87514373,2.338118505,48.87514373
Vélib,10020,10020 - CHABROL,59 RUE CHABROL - 75010 PARIS,75,75010,PARIS,48.87710035,2.351222168,48.87710035
Vélib,11016,11016 - PHILIPPE AUGUSTE,5 RUE DU PASSAGE PHILIPPE AUGUSTE - 75011 PARIS,75,75011,PARIS,48.8518182,2.393255376,48.8518182
Vélib,21211,21211 - MARNE (MONTROUGE),100 AVENUE DE LA MARNE - 92120 MONTROUGE,92,92120,MONTROUGE,48.81174982,2.303169888,48.81174982
Vélib,21209,21209 - GEORGES MESSIER (MONTROUGE),35 RUE MOLIERE - 92120 MONTROUGE,92,92120,MONTROUGE,48.81110184,2.314629748,48.81110184
Vélib,18016,18016 - FRANCOEUR CAULAINCOURT,1 RUE FRANCOEUR - 75018 PARIS,75,75018,PARIS,48.8900229,2.342450013,48.8900229
Vélib,19025,19025 - BOTZARIS,FACE 80 RUE BOTZARIS - 75019 PARIS,75,75019,PARIS,48.87956145,2.388960411,48.87956145
Vélib,14126,14126 - VAILLANT COUTURIER,155 AVENUE PAUL VAILLANT COUTURIER - 75014 PARIS,75,75014,PARIS,48.81698098,2.332609688,48.81698098
Vélib,15002,15002 - BOURDELLE,26 AVENUE DU MAINE - 75015 PARIS,75,75015,PARIS,48.84308532,2.320263947,48.84308532
Vélib,22407,22407 - BARBUSSE (MALAKOFF),ROND POINT HENRI BARBUSSE - 92240 MALAKOFF,92,92240,MALAKOFF,48.81467966,2.287400457,48.81467966
Vélib,32004,32004 - BAILLY (SAINT DENIS),AVENUE DU PRESIDENT WILSON/ RUE DE BAILLY - 93200 SAINT DENIS,93,93200,SAINT-DENIS,48.91519864,2.357500684,48.91519864
Vélo2,56103,56103 - ERA03 - GARE D'ERAGNY (CB),RUE DES BELLES HÂTES ANGLE BOULEVARD DES AVIATEURS ALLIÉS 95600 - ERAGNY,95,95600,ERAGNY,49.01805726,2.091026255,49.01805726
Vélib,1016,01016 - OPERA PYRAMIDES,27 RUE THERESE - 75001 PARIS,75,75001,PARIS,48.86648351,2.334433421,48.86648351
Vélib,4009,04009 - VILLAGE SAINT PAUL,6 RUE SAINT PAUL - 75004 PARIS,75,75004,PARIS,48.85272597,2.360878343,48.85272597
Vélib,6016,06016 - DANTON,11 RUE DANTON - 75006 PARIS,75,75006,PARIS,48.85239301,2.341442522,48.85239301
Vélib,7003,07003 - BON MARCHE,RUE VELPEAU - 75007 PARIS,75,75007,PARIS,48.85123038,2.325070039,48.85123038
Vélib,7005,07005 - BAC,FACE 2 BOULEVARD RASPAIL - 75007 PARIS,75,75007,PARIS,48.85546174,2.325681936,48.85546174
Vélib,8017,08017 - ROCHER,14 RUE ROCHER - 75008 PARIS,75,75008,PARIS,48.87607933,2.322731562,48.87607933
Vélib,21103,21103 - HUGO (CLICHY),94-98 BOULEVARD VICTOR HUGO - 92110 CLICHY,92,92110,CLICHY,48.90146016,2.317129921,48.90146016
Vélib,41302,41302 - CHARLES DE GAULLE (NOGENT),FACE AU 60 AVENUE CHARLES DE GAULLES - 94130 NOGENT SUR MARNE,94,94130,NOGENT,48.83648113,2.479464269,48.83648113
Vélib,3007,03007 - ARCHIVES PASTOURELLE,67 RUE DES ARCHIVES - 75003 PARIS,75,75003,PARIS,48.86240121,2.359447032,48.86240121
Vélib,8053,08053 - FRIEDLAND,PLACE GEORGES GUILLAUMIN - 75008 PARIS,75,75008,PARIS,48.8747502,2.301771435,48.8747502
Vélib,10037,10037 - VERSION 2 JAURES,EGLISE SAINT JOSEPH ARTISAN - 75010 PARIS,75,75010,PARIS,48.88126816,2.368117528,48.88126816
Vélib,11032,11032 - METALLOS,81 BIS RUE JP TIMBAUD - 75011 PARIS,75,75011,PARIS,48.86793796,2.377885516,48.86793796
Vélib,13110,13110 - MOULIN DE LA POINTE,66 RUE DU MOULIN DE LA POINTE - 75013 PARIS,75,75013,PARIS,48.82103929,2.356345144,48.82103929
